transaction_id,transaction_date,customer_segment,items,basket_size
T00001,2026-01-01,Premium,Biscuits|Coffee|Milk,3
T00002,2026-02-02,Value,Cereal|Milk,2
T00003,2026-03-03,Regular,Biscuits|Cereal|Coffee|Milk,4
T00004,2026-04-04,Regular,Bread|Butter|Milk,3
T00005,2026-05-05,Premium,Biscuits|Bread|Coffee|Milk|Yogurt,5
T00006,2026-06-06,Value,Cereal|Coffee|Milk|Yogurt,4
T00007,2026-07-07,Value,Eggs|Milk|Pasta|Tomato Sauce,4
T00008,2026-08-08,Regular,Cheese|Chicken|Coffee|Eggs|Pasta|Tomato Sauce,6
T00009,2026-09-09,Premium,Bread|Cereal|Chips|Coffee|Milk|Yogurt,6
T00010,2026-10-10,Regular,Bread|Butter|Cereal|Coffee|Milk|Pasta,6
T00011,2026-11-11,Value,Biscuits|Coffee|Tomato Sauce,3
T00012,2026-12-12,Premium,Biscuits|Bread|Butter|Eggs|Milk,5
T00013,2026-01-13,Premium,Bread|Butter|Coffee|Juice|Milk|Yogurt,6
T00014,2026-02-14,Value,Biscuits|Coffee|Milk,3
T00015,2026-03-15,Premium,Biscuits|Coffee,2
T00016,2026-04-16,Premium,Biscuits|Cereal|Chicken|Coffee|Eggs|Juice,6
T00017,2026-05-17,Regular,Eggs|Pasta|Tomato Sauce,3
T00018,2026-06-18,Value,Cheese|Juice|Pasta|Tomato Sauce,4
T00019,2026-07-19,Premium,Biscuits|Butter|Cereal|Cheese|Coffee|Juice|Milk,7
T00020,2026-08-20,Regular,Biscuits|Coffee|Milk,3
T00021,2026-09-21,Value,Bread|Butter|Eggs|Milk,4
T00022,2026-10-22,Regular,Milk|Pasta|Tomato Sauce,3
T00023,2026-11-23,Regular,Cheese|Pasta|Tomato Sauce,3
T00024,2026-12-24,Value,Cereal|Milk,2
T00025,2026-01-25,Value,Cheese|Milk|Pasta|Tomato Sauce,4
T00026,2026-02-26,Regular,Biscuits|Bread|Butter|Cheese,4
T00027,2026-03-27,Premium,Bread|Butter|Cereal|Eggs|Milk,5
T00028,2026-04-28,Regular,Cheese|Pasta|Tomato Sauce,3
T00029,2026-05-01,Premium,Bread|Coffee|Milk|Pasta|Tea|Tomato Sauce,6
T00030,2026-06-02,Value,Biscuits|Cheese|Coffee,3
T00031,2026-07-03,Regular,Bread|Butter|Milk,3
T00032,2026-08-04,Regular,Bread|Butter|Coffee|Eggs|Milk,5
T00033,2026-09-05,Value,Biscuits|Chips|Coffee|Milk,4
T00034,2026-10-06,Premium,Chips|Juice|Pasta|Tomato Sauce,4
T00035,2026-11-07,Regular,Cereal|Milk|Pasta,3
T00036,2026-12-08,Premium,Biscuits|Chicken|Coffee|Pasta|Tea,5
T00037,2026-01-09,Premium,Biscuits|Bread|Cereal|Chicken|Chips|Milk,6
T00038,2026-02-10,Regular,Bread|Cereal|Chicken|Milk|Pasta|Tea|Tomato Sauce,7
T00039,2026-03-11,Value,Bread|Butter|Milk|Pasta,4
T00040,2026-04-12,Value,Bread|Butter|Eggs|Milk,4
T00041,2026-05-13,Premium,Cereal|Chicken|Milk|Pasta,4
T00042,2026-06-14,Value,Cereal|Cheese|Milk|Yogurt,4
T00043,2026-07-15,Premium,Biscuits|Chicken|Coffee|Milk,4
T00044,2026-08-16,Value,Biscuits|Cereal|Cheese|Coffee|Eggs|Milk|Yogurt,7
T00045,2026-09-17,Regular,Biscuits|Coffee|Milk,3
T00046,2026-10-18,Regular,Biscuits|Bread|Butter|Cheese,4
T00047,2026-11-19,Premium,Bread|Chicken|Pasta,3
T00048,2026-12-20,Value,Bread|Butter|Milk,3
T00049,2026-01-21,Regular,Cereal|Chicken|Milk|Pasta|Tea|Tomato Sauce,6
T00050,2026-02-22,Premium,Bread|Butter|Chips|Juice|Milk,5
T00051,2026-03-23,Premium,Bread|Butter|Tea,3
T00052,2026-04-24,Premium,Pasta|Tomato Sauce,2
T00053,2026-05-25,Regular,Biscuits|Coffee|Eggs,3
T00054,2026-06-26,Regular,Biscuits|Coffee|Juice|Milk|Yogurt,5
T00055,2026-07-27,Value,Biscuits|Coffee,2
T00056,2026-08-28,Regular,Biscuits|Coffee|Milk,3
T00057,2026-09-01,Value,Cereal|Cheese|Juice|Milk,4
T00058,2026-10-02,Premium,Bread|Butter|Milk,3
T00059,2026-11-03,Value,Bread|Butter|Milk,3
T00060,2026-12-04,Value,Cheese|Pasta|Tomato Sauce,3
T00061,2026-01-05,Regular,Bread|Butter,2
T00062,2026-02-06,Value,Biscuits|Bread|Butter|Chips|Milk,5
T00063,2026-03-07,Premium,Biscuits|Coffee|Tomato Sauce,3
T00064,2026-04-08,Premium,Bread|Butter|Milk,3
T00065,2026-05-09,Regular,Biscuits|Coffee|Milk,3
T00066,2026-06-10,Value,Bread|Butter|Cheese|Eggs|Milk,5
T00067,2026-07-11,Value,Biscuits|Chicken|Coffee|Milk,4
T00068,2026-08-12,Premium,Butter|Cereal|Cheese|Pasta|Tomato Sauce,5
T00069,2026-09-13,Value,Biscuits|Cereal|Coffee,3
T00070,2026-10-14,Premium,Bread|Butter|Coffee|Pasta,4
T00071,2026-11-15,Value,Chicken|Pasta|Tomato Sauce|Yogurt,4
T00072,2026-12-16,Value,Bread|Butter|Milk|Tomato Sauce,4
T00073,2026-01-17,Regular,Bread|Butter|Cereal|Chips|Milk,5
T00074,2026-02-18,Value,Bread|Cheese|Milk|Pasta|Tomato Sauce,5
T00075,2026-03-19,Premium,Cheese|Milk|Pasta|Tea|Tomato Sauce,5
T00076,2026-04-20,Regular,Biscuits|Bread|Coffee|Eggs|Juice|Milk,6
T00077,2026-05-21,Premium,Cheese|Pasta|Tomato Sauce,3
T00078,2026-06-22,Premium,Biscuits|Butter|Coffee|Juice|Milk|Tea,6
T00079,2026-07-23,Premium,Biscuits|Coffee|Milk,3
T00080,2026-08-24,Regular,Bread|Butter|Chicken|Milk,4
T00081,2026-09-25,Regular,Bread|Butter|Eggs|Milk,4
T00082,2026-10-26,Value,Bread|Butter|Chicken,3
T00083,2026-11-27,Value,Bread|Butter,2
T00084,2026-12-28,Regular,Cheese|Pasta|Tomato Sauce,3
T00085,2026-01-01,Regular,Bread|Butter|Chips,3
T00086,2026-02-02,Premium,Cheese|Eggs|Milk|Pasta|Tomato Sauce,5
T00087,2026-03-03,Premium,Chicken|Pasta,2
T00088,2026-04-04,Value,Biscuits|Coffee,2
T00089,2026-05-05,Value,Biscuits|Cereal|Coffee|Milk,4
T00090,2026-06-06,Regular,Cheese|Pasta|Tomato Sauce,3
T00091,2026-07-07,Premium,Cereal|Milk|Yogurt,3
T00092,2026-08-08,Regular,Biscuits|Bread|Chicken|Coffee|Pasta|Tomato Sauce,6
T00093,2026-09-09,Premium,Biscuits|Chicken|Coffee|Milk,4
T00094,2026-10-10,Value,Biscuits|Coffee|Milk,3
T00095,2026-11-11,Regular,Biscuits|Bread|Coffee|Milk,4
T00096,2026-12-12,Value,Biscuits|Butter|Coffee|Juice|Milk|Pasta|Tomato Sauce,7
T00097,2026-01-13,Value,Coffee|Pasta|Tomato Sauce,3
T00098,2026-02-14,Value,Biscuits|Butter|Coffee|Eggs|Milk,5
T00099,2026-03-15,Value,Bread|Cheese|Chicken|Pasta,4
T00100,2026-04-16,Regular,Biscuits|Chicken|Chips|Coffee|Juice|Milk|Tomato Sauce,7
T00101,2026-05-17,Value,Bread|Butter|Milk,3
T00102,2026-06-18,Premium,Biscuits|Coffee|Milk,3
T00103,2026-07-19,Value,Bread|Butter|Coffee|Milk,4
T00104,2026-08-20,Regular,Biscuits|Coffee|Milk,3
T00105,2026-09-21,Regular,Chicken|Coffee|Pasta|Tomato Sauce,4
T00106,2026-10-22,Premium,Cheese|Pasta|Tomato Sauce,3
T00107,2026-11-23,Premium,Biscuits|Bread|Coffee,3
T00108,2026-12-24,Regular,Bread|Butter|Milk|Pasta|Tea,5
T00109,2026-01-25,Regular,Biscuits|Coffee|Milk|Tomato Sauce,4
T00110,2026-02-26,Value,Chicken|Milk|Pasta,3
T00111,2026-03-27,Premium,Bread|Butter|Milk,3
T00112,2026-04-28,Premium,Cereal|Chips|Milk|Yogurt,4
T00113,2026-05-01,Value,Chicken|Eggs|Pasta|Tomato Sauce,4
T00114,2026-06-02,Regular,Biscuits|Butter|Coffee|Eggs|Milk,5
T00115,2026-07-03,Premium,Biscuits|Cheese|Coffee|Milk,4
T00116,2026-08-04,Premium,Cereal|Coffee|Milk,3
T00117,2026-09-05,Regular,Bread|Butter|Chicken|Yogurt,4
T00118,2026-10-06,Value,Chicken|Pasta|Tomato Sauce,3
T00119,2026-11-07,Value,Cereal|Eggs|Milk|Pasta,4
T00120,2026-12-08,Regular,Biscuits|Coffee|Juice|Milk|Tomato Sauce,5
T00121,2026-01-09,Value,Cereal|Cheese|Coffee|Milk|Yogurt,5
T00122,2026-02-10,Regular,Biscuits|Coffee|Milk|Yogurt,4
T00123,2026-03-11,Value,Cereal|Cheese|Chicken|Juice|Pasta|Tomato Sauce,6
T00124,2026-04-12,Value,Cereal|Eggs|Milk|Yogurt,4
T00125,2026-05-13,Premium,Bread|Butter|Milk,3
